Task_Name,Timer
Integration chap,1:30:00
javascript chap,2:15:00
python chap,1:00:00
C chap,1:00:00
C# chap,1:30:00
Differentiation chap,1:45:00
Fraction chap,1:00:00
DF chap,1:30:00
DS chap,2:00:00
DBMS chap,1:30:00
Listen to lecture,1:11:00
IELTS preparation,2:00:00
spend time with family,0:45:00
Go to Gym,1:00:00
Lunch,0:30:00
Prayer,0:15:00
Walk,0:45:00
Shower,0:15:00
Coffee with someone,1:30:00
Watching Show,1:00:00
Watching Web-Series,7:00:00
Watching Movies,2:30:00
hair cut ,1:20:00
have spa,0:59:00
me time ,1:00:00
washing clothes ,0:48:00
birthday parties,3:00:00
check mail,0:10:00
washing shoes,0:50:00
pet Shower,1:05:00
pet Feeding,0:30:00
pet checkup,1:00:00
waching news ,0:03:00
shoot for video,1:50:00
shoping ,3:00:00
buying groceries,1:25:00
appointment for monthly check up ,2:00:00
id card issue,1:45:00
road trip ,4:45:00
driving classes ,1:55:00
make flow chart ,0:25:00
make flow ,0:25:00
t shirt printing ,0:50:00
attenting fresher party,1:20:00
buying dogtag,1:45:00
finance managment ,0:45:00
going bank,5:00:00
making payment to client,0:05:00
check inbox,0:20:00
installing vs code,0:20:00
installing window 11,0:30:00
installing ubantu,0:32:00
installing figma ,1:46:00
learn new languge,22:20:00
photo shoot,1:40:00
create an account on facebook,0:10:00
create an account on LinkedIn,0:20:00
memorize speech,1:20:00
Schedule Task,0:05:00
buying vegitable,4:20:00
buying snacks,1:10:00
celebrate 15th august,1:50:00
take tuition,1:59:00
Buy stocks,1:40:00
Research for NFT,2:50:00
Learn to analyze stock,1:09:00
learn ML&AI,3:00:00
Meet with friends,0:45:00
Make cake,1:50:00
Make prototype on Figma,1:05:00
Make Dataset of an App,1:55:00
Make Dataset of an WebApp,1:46:00
play game,1:50:00
give vehicle to service center,1:30:00
book a ticket,1:10:00
buy watch from amazon,1:25:00
do online shopping,0:20:00
create bank account,1:26:00
aeronautical lectuer to attend,1:20:00
make ppt,0:45:00
prepare a speech,0:40:00
practice for presentation,0:30:00
take inquiry for IEEE  club,0:44:00
buy a domain for website,0:26:00
buy hosting for website,0:27:00
host a software,0:28:00
buy domain for software,0:21:00
host a website,0:10:00
buy harwares,1:42:00
built a Gaming PC,1:20:00
make connection with mentors,1:54:00
make connection with successful people,0:45:00
connect with professionals on LinkedIn,1:45:00
Make portfolio,0:10:00
make resume,0:05:00
make CV,0:25:00
prepare questions for interview,1:26:00
buy medicines,1:45:00
Start PSNA,2:00:50
Integration chap,1:48:39
javascript chap,2:30:19
python chap,2:35:00
C chap,1:30:00
C# chap,1:35:00
Differentiation chap,2:30:00
Fraction chap,2:45:00
DF chap,3:05:00
DS chap,2:50:00
DBMS chap,2:08:00
Listen to lecture,2:03:00
IELTS preparation,3:02:00
spend time with family,1:00:59
Go to Gym,1:30:00
Lunch,0:30:00
Prayer,0:45:00
Walk,1:15:00
Shower,0:15:00
Coffee with someone,2:30:00
Watching Show,0:45:00
Watching Web-Series,0:45:00
Watching Movies,2:30:00
hair cut ,1:15:00
have spa,2:05:00
me time ,1:15:00
washing clothes ,0:30:00
birthday parties,1:45:00
check mail,0:45:00
washing shoes,1:06:00
pet Shower,1:05:00
pet Feeding,0:05:00
pet checkup,2:30:00
waching news ,0:15:00
shoot for video,1:45:00
shopping ,1:46:00
buying groceries,0:45:00
appointment for monthly check up ,2:05:00
id card issue,0:21:00
road trip preparation,4:00:00
driving classes ,1:59:00
make flow chart ,0:30:00
make flow ,0:05:00
t shirt printing ,0:15:00
attending fresher party,3:00:00
buying fashion accessories,0:59:00
finance managment ,1:00:00
going bank,1:30:00
making payment to client,0:25:00
check inbox,0:45:00
installing vs code,0:05:00
installing window 11,0:15:00
installing ubantu,0:10:00
installing figma ,0:15:00
learn new languge,1:45:00
photo shoot,0:40:00
create an account on facebook,0:05:00
create an account on LinkedIn,0:10:00
memorize speech,0:30:00
Schedule tomorrow's task,0:03:00
buying vegitable,0:45:00
buying snacks,0:05:00
celebrate 15th august,1:55:00
take tuition,1:30:00
Buy stocks,0:15:00
Research for NFT,3:00:00
Learn to analyze stock,2:17:00
learn ML&AI,2:05:00
Meet with friends,0:59:00
Make cake,1:30:00
Make prototype on Figma,4:00:00
Make Dataset of an App,1:45:00
Make Dataset for an WebApp,3:05:00
play game,1:00:00
give vehicle to service center,0:45:00
book a ticket,0:30:00
buy watch from amazon,0:15:00
do online shopping,0:57:00
create bank account,1:15:00
attend aeronautical Lecture,2:30:00
make ppt,1:30:00
prepare a speech,1:45:00
practice for presentation,1:00:00
take inquiry for IEEE  club,0:45:00
buy a domain for website,1:00:00
buy hosting for website,1:30:00
host a software,3:15:00
buy domain for software,0:45:00
host a website,0:05:00
buy hardwares,0:36:00
built a Gaming PC,1:49:00
make connection with mentors,0:50:00
make connection with successful people,0:45:00
connect with professionals on LinkedIn,0:50:00
Make portfolio,0:48:00
make resume,0:59:00
make CV,1:30:00
prepare questions for interview,3:20:00
buy medicines,0:40:00
Start PSNA,2:15:00
installing Android Studio,0:10:00
Setup Flutter,0:40:00
